"City Id","City name","Total Users",Percentage
16246,Ramgarhwa,44,0.13
210,Jamshedpur,43,0.13
17275,Lakhisarai,43,0.13
97,Katni,43,0.13
88,"Greater Noida",42,0.13
116,Neemuch,42,0.13
9049,Balaghat,42,0.13
1223,Patiala,41,0.12
4050,Amritsar,41,0.12
22,Delhi,41,0.12
105,Burhanpur,40,0.12
18737,"West Champaran",40,0.12
17647,Bhiwani,39,0.12
15387,Nashik,39,0.12
18568,"Pashchim Champaran",39,0.12
16794,Durgapur,39,0.12
18357,"Shivpuri Timaruwa",38,0.12
15744,Seonipal,38,0.12
19093,Rangareddy,37,0.11
18365,Madhepura,37,0.11
18378,Solan,37,0.11
150,Kishanganj,36,0.11
15675,Jodhpuria,36,0.11
18950,Yamunanagar,36,0.11
4,Vadodara,36,0.11
438,Panipat,35,0.11
15450,Jalandhar,35,0.11
16842,"Bhadohi Nagar Palika",35,0.11
15479,Jamui,34,0.10
113,Damoh,34,0.10
15663,Shahdol,34,0.10
18475,Raigad,34,0.10
980,Chandigarh,34,0.10
1358,Bhindaulia,34,0.10
18505,"Kanshi Ram Nagar",33,0.10
158,kolkata,33,0.10
272,Barwani,32,0.10
18490,Singrauli,32,0.10
8958,Ashoknagar,32,0.10
16240,Hoshiarpur,31,0.09
18444,Valsad,31,0.09
15845,Nizamabad,31,0.09
18456,Chitrakoot,30,0.09
18338,Ahmednagar,30,0.09
17245,"Bilaspur Kalan",29,0.09
18567,"Seraikela Kharsawan",29,0.09
18510,"North 24 Parganas",28,0.09
16978,Bharuch,28,0.09
18302,Mewat,28,0.09
18409,"St. Ravidas Nagar",28,0.09
16303,Tikamgarh,27,0.08
17108,Sahibganj,27,0.08
15397,Harda,26,0.08
149,Steam,26,0.08
16499,Chatra,26,0.08
16691,Coimbatore,26,0.08
17818,Garhwana,26,0.08
18562,Godda,25,0.08
19019,Kachchh,25,0.08
18627,Banaskantha,25,0.08
18741,Ajmer,25,0.08
19420,"Ahmedabad District",25,0.08
18577,Gandhinagar,24,0.07
124,Datia,24,0.07
15956,Nuh,24,0.07
18440,Koderma,24,0.07
18513,Jehanabad,24,0.07
15514,Sangrur,24,0.07
778,Dumka,23,0.07
749,Raipur,22,0.07
92,Kasganj,22,0.07
504,Sheikhpura,22,0.07
15801,Tiruppur,22,0.07
17641,Jalgaon,22,0.07
15492,Bathinda,21,0.06
162,Morbi,21,0.06
16859,Panna,21,0.06
4218,Mandla,21,0.06
26,Chennai,21,0.06
1246,"Fatehgarh Sahib",21,0.06
19116,"Mumbai City",21,0.06
18290,Janjgir-Champa,20,0.06
19,Mumbai,20,0.06
155,Bengaluru,20,0.06
7,Bhavnagar,20,0.06
16318,Hanumangarh,19,0.06
18113,Kotawari,19,0.06
16374,Bikaner,19,0.06
18466,Malappuram,19,0.06
18670,"Sri Ganganagar",19,0.06
18469,Mahoba,19,0.06
18450,Shrawasthi,19,0.06
18888,"Mahoba District",18,0.05
18786,Jamnagar,18,0.05
16659,Anandpur,18,0.05
16913,Howrah,18,0.05
18453,Tiruvallur,17,0.05
18744,Raigarh,17,0.05
18651,Mehsana,17,0.05
19411,"Madhubani Block",17,0.05
18232,Churu,17,0.05
18446,Solapur,17,0.05
19445,"Hisar Tehsil",17,0.05
